MEAN,STD,MAX,VAR,SKEWNESS,KURTOSIS,RMS,PEAK2PEAK,PEAK2RMS,# MAXIMA,VIBRATION CLASS
0.002224982,8.69E-05,0.002224982,7.55E-09,21.13218789,523.2853015,0.00248346,0.017728938,4.380631236,250,WALKING
0.002133651,8.75E-05,0.002133651,7.65E-09,18.32136358,425.9746766,0.002478751,0.018534799,5.039167076,242,WALKING
0.002188449,9.63E-05,0.002188449,9.26E-09,14.47181258,308.9796737,0.002806211,0.034652015,6.174164532,228,WALKING
0.00217072,0.000158285,0.00217072,2.50E-08,4.223335315,37.41087711,0.004440329,0.107179487,14.79116849,221,WALKING
0.002175018,0.000123387,0.002175018,1.52E-08,7.060521906,104.5029446,0.003544927,0.057216117,9.434108863,250,WALKING
0.002202955,0.000136594,0.002202955,1.86E-08,5.842559222,72.3660907,0.003920581,0.091062271,13.87437163,218,WALKING
0.002273871,0.000105576,0.002273871,1.11E-08,12.3468883,245.2863941,0.003072765,0.044322344,9.047940319,232,WALKING
0.002231966,0.000150304,0.002231966,2.26E-08,4.855224302,50.04602301,0.004560215,0.124102564,14.22560101,214,WALKING
0.002205104,8.55E-05,0.002205104,7.30E-09,21.81888952,545.9149815,0.002406304,0.016923077,4.186196052,238,WALKING
0.002292674,0.000110545,0.002292674,1.22E-08,10.99793298,208.5101149,0.003208729,0.046739927,8.413404445,239,WALKING
0.002371648,0.00014147,0.002371648,2.00E-08,6.665894727,87.17821626,0.003932042,0.065274725,8.505307712,234,WALKING
0.002353919,0.000110194,0.002353919,1.21E-08,11.86214627,233.7937956,0.003276114,0.038681319,6.026527169,241,WALKING
0.002331893,0.000180844,0.002331893,3.27E-08,3.996141745,31.15896007,0.004829849,0.112820513,13.0977331,219,WALKING
0.002354457,0.000146824,0.002354457,2.15E-08,6.170842455,74.15881692,0.003987546,0.078974359,11.82252265,224,WALKING
0.002329744,0.000133771,0.002329744,1.79E-08,7.459249225,102.1736886,0.003830039,0.070915751,13.36074256,232,WALKING
0.002301807,0.000120458,0.002301807,1.45E-08,9.311052727,152.9637538,0.003330989,0.045934066,7.378816614,233,WALKING
0.002341026,0.000104397,0.002341026,1.09E-08,14.04751408,293.4177145,0.003011899,0.041098901,9.49834549,249,WALKING
0.002336728,0.000106274,0.002336728,1.13E-08,13.31744687,271.8828319,0.003021795,0.041098901,8.400509929,232,WALKING
0.002310403,0.000158344,0.002310403,2.50E-08,4.701975889,48.08130061,0.004453367,0.10959707,15.47168837,234,WALKING
0.002279243,0.000102827,0.002279243,1.06E-08,13.27881452,276.4106353,0.003008306,0.047545788,8.706055143,228,WALKING
0.002279243,0.000122673,0.002279243,1.50E-08,8.366347832,134.8466377,0.003339291,0.057216117,9.049759141,215,WALKING
0.002315238,0.000134373,0.002315238,1.80E-08,6.234618298,88.07797073,0.004304771,0.101538462,13.01052364,195,WALKING
0.002285153,9.07E-05,0.002285153,8.21E-09,20.32951434,494.5128128,0.002547952,0.012893773,3.63719486,244,WALKING
0.002289451,0.000156496,0.002289451,2.45E-08,4.987747846,49.64325313,0.004738602,0.093479853,10.28881077,226,WALKING
0.00227602,0.000207208,0.00227602,4.29E-08,2.363594177,13.08591192,0.006243878,0.168424908,16.0684879,232,WALKING
0.0022916,0.000125161,0.0022916,1.56E-08,7.899659799,120.5737743,0.003763145,0.062051282,9.315331348,222,WALKING
0.002306642,0.000166653,0.002306642,2.77E-08,3.850103594,36.31475142,0.004872835,0.093479853,10.66689607,238,WALKING
0.00352779,0.000132715,0.00352779,1.76E-08,24.11543375,628.2440557,0.003702878,0.017728938,3.373279753,257,WALKING
0.003458486,0.000132477,0.003458486,1.75E-08,22.87939735,583.1429141,0.003672962,0.019340659,3.400754518,246,WALKING
0.003544982,0.000140307,0.003544982,1.97E-08,20.27034418,495.6565803,0.00399145,0.045128205,6.561643769,224,WALKING
0.003561636,0.000214863,0.003561636,4.61E-08,6.290227581,81.14347064,0.006133136,0.136190476,14.51909959,208,WALKING
0.003553578,0.000165268,0.003553578,2.73E-08,12.40489005,245.8231579,0.004736319,0.064468864,7.911740963,234,WALKING
0.003548742,0.000178181,0.003548742,3.17E-08,10.16076376,178.8771418,0.005028482,0.101538462,10.97776016,197,WALKING
0.003575604,0.000149798,0.003575604,2.24E-08,17.02075945,388.6231508,0.004232913,0.053186813,8.662277366,228,WALKING
0.003557338,0.000210556,0.003557338,4.43E-08,6.639791584,88.4582955,0.006012017,0.150695971,16.42010577,195,WALKING
0.003515971,0.000131274,0.003515971,1.72E-08,24.77995834,652.1987906,0.003647074,0.015311355,3.203933254,234,WALKING
0.00359978,0.000157628,0.00359978,2.48E-08,14.76492734,319.0306407,0.004498219,0.062051282,8.867978436,229,WALKING
0.003696484,0.000186757,0.003696484,3.48E-08,10.19906181,177.576953,0.005106432,0.073333333,8.916427865,229,WALKING
0.003652967,0.000148911,0.003652967,2.21E-08,18.486621,436.3354069,0.00422739,0.031428571,4.098511693,240,WALKING
0.003655116,0.000223397,0.003655116,4.98E-08,6.2232901,78.64248665,0.006199721,0.153919414,13.58326567,219,WALKING
0.003644371,0.000183792,0.003644371,3.37E-08,10.30649936,179.0856487,0.005038281,0.083003663,8.557195569,212,WALKING
0.003650818,0.000183187,0.003650818,3.35E-08,10.48925437,183.301619,0.005016766,0.078168498,9.718327329,204,WALKING
0.003611062,0.000158451,0.003611062,2.51E-08,15.39065233,328.826985,0.004272488,0.04996337,5.941412474,250,WALKING
0.003655653,0.000148351,0.003655653,2.20E-08,18.72134019,444.2821158,0.004222577,0.048351648,6.965869224,252,WALKING
0.00365619,0.000148806,0.00365619,2.21E-08,18.6369866,440.9072203,0.004201726,0.058021978,9.110158527,234,WALKING
0.003614286,0.00020473,0.003614286,4.19E-08,7.155979001,106.3001239,0.005770098,0.137802198,15.01361681,236,WALKING
0.003573993,0.000143435,0.003573993,2.05E-08,19.46496145,469.4241306,0.004038113,0.045934066,5.887129843,227,WALKING
0.003572381,0.000155609,0.003572381,2.42E-08,15.34678144,334.2683663,0.004271172,0.053186813,8.018662531,219,WALKING
0.003626642,0.000164306,0.003626642,2.70E-08,12.40240717,249.7003309,0.005679254,0.11040293,10.5712168,185,WALKING
0.003605153,0.00013555,0.003605153,1.83E-08,24.21377378,631.7904241,0.003767626,0.015311355,3.315308086,244,WALKING
0.003587961,0.000208872,0.003587961,4.36E-08,7.38639624,98.96670915,0.005783205,0.108791209,9.823824303,222,WALKING
0.00359011,0.000267122,0.00359011,7.13E-08,3.694611291,33.2172438,0.007571632,0.166007326,12.39927953,231,WALKING
0.003603541,0.000168649,0.003603541,2.84E-08,12.34570175,241.0369931,0.004775527,0.078168498,10.3780033,232,WALKING
0.003631477,0.00020456,0.003631477,4.18E-08,7.154767635,106.6889174,0.005936629,0.09025641,8.348246389,237,WALKING
0.002187375,8.53E-05,0.002187375,7.27E-09,21.30096536,529.3764957,0.002418321,0.017728938,4.165394949,249,WALKING
0.002128278,8.79E-05,0.002128278,7.71E-09,18.03135454,415.1298376,0.002480496,0.021758242,5.360501289,246,WALKING
0.002170183,9.56E-05,0.002170183,9.13E-09,14.32128068,305.2322466,0.002825111,0.036263736,7.27385618,234,WALKING
0.002146545,0.000187128,0.002146545,3.50E-08,2.912610009,17.93637718,0.005072514,0.150695971,16.28398442,211,WALKING
0.002130427,0.000118485,0.002130427,1.40E-08,7.343934819,111.1451056,0.003558934,0.058827839,9.170543243,218,WALKING
0.002174481,0.000148415,0.002174481,2.20E-08,4.618465296,48.82072661,0.004116635,0.100732601,14.38815333,209,WALKING
0.002195971,0.000117216,0.002195971,1.37E-08,8.191749972,134.4575643,0.003387912,0.067692308,11.53638121,219,WALKING
0.002168571,0.000175094,0.002168571,3.06E-08,3.334514725,24.57313182,0.004777611,0.145054945,15.26503662,202,WALKING
0.002121294,8.28E-05,0.002121294,6.85E-09,21.15455789,525.0821561,0.002357809,0.022564103,5.98121626,236,WALKING
0.002214237,0.00010939,0.002214237,1.20E-08,10.1434119,186.4217107,0.00320765,0.054798535,10.17485034,244,WALKING
0.002289451,0.000144949,0.002289451,2.10E-08,5.756384657,68.2286429,0.003961639,0.065274725,8.441764564,234,WALKING
0.002258291,0.000108522,0.002258291,1.18E-08,10.96833965,209.8880087,0.003187625,0.042710623,6.699441918,249,WALKING
0.002273333,0.000166728,0.002273333,2.78E-08,3.801742714,33.95298076,0.005257387,0.126520147,13.25885906,231,WALKING
0.002257753,0.000144418,0.002257753,2.08E-08,5.759576518,66.23776835,0.003980488,0.083003663,11.64103537,226,WALKING
